title,winery,region,ratings,number of ratings
Ruben & Flora Reserva 2017,Viña Tinajas,Chile·Maule Valley,3.9,127
Cabernet Franc 2010,Tinhorn Creek,Canada·Okanagan Valley,4,33
Arbois Trousseau 2014,Rolet,France·Arbois,3.7,151
Reserva Cabernet Sauvignon 2018,Chilcas,Chile·Colchagua Valley,3.7,41
Cinsault 2018,Olivier Coste,France·Hérault,3.5,32
Pinot Noir 2016,Averill Creek,Canada·Vancouver Island,3.8,27
Shiraz 2013,Jacob's Creek,Australia·South Eastern Australia,3.3,295
Chardonnay 2018,Wayne Gretzky Estates No. 99,Canada·Niagara Peninsula,3.5,63
Montagny 1er Cru 'Les Coères' 2013,Pascal Clément,France·Montagny 1er Cru 'Les Coeres',3.9,44
Merlot 2017,Burrowing Owl,Canada·Okanagan Valley,4,157
Pinot Gris 2018,Wild Goose,Canada·Okanagan Valley,3.9,54
Kaseler Nies'chen Riesling Kabinett 2010,Karlsmühle,Germany·Mosel,4.1,30
Cuvée Spéciale White 2015,Theotoky,Greece·Corfu,3.8,34
Steen 2014,Donkiesbaai,South Africa·Olifants River,4,82
Terroir Hunter Carignan (T.H.) 2017,Undurraga,Chile·Maule Valley,4,272
Шардоне витримане / Chardonnay Aged 2018,Колоніст / Kolonist,Ukraine·Одеса,3.4,30
Dorsheim Riesling 2016,Diel,Germany·Nahe,3.6,32
The Weather Station Sauvignon Blanc 2017,Journey's End,South Africa·Stellenbosch,3.9,123
Pinot Grigio 2018,Longhand,Canada·Okanagan Valley,3.6,29
Old Vines Foch 2017,Quails' Gate,Canada·Okanagan Valley,4.1,143
Allegro 2010,Pago Calzadilla,Spain·Pago Calzadilla,3.8,137
Eloveni Salento Negroamaro 2016,Leone de Castris,Italy·Salento,3.8,149
Reserva de Familia Malbec 2015,Los Haroldos,Argentina·Mendoza,3.8,1370
Douro White 2016,Quinta de La Rosa,Portugal·Douro,3.7,199
Cairanne Les Travées 2015,Alain Jaume,France·Cairanne,3.6,59
Patrão Diogo Lisboa Tinto 2015,Viúva Gomes,Portugal·Lisboa,3.7,126
Hochheim Königin Victoriaberg Riesling Trocken 2015,Joachim Flick,,4,84
Pinot Noir 2017,Tantalus,Canada·Okanagan Valley,3.7,103
Eggo Blanc de Cal 2014,Zorzal,Argentina·Tupungato,3.8,208
Chardonnay 2017,Quails' Gate,Canada·Okanagan Valley,3.8,81
Chianti 2015,Placido,Italy·Chianti,3.5,440
Equinócio Branco 2016,Cabeças do Reguengo,Portugal·Alentejano,4.3,34
Tyto Alba Touriga Nacional 2015,Companhia das Lezírias,Portugal·Tejo,4.1,103
Terrenus 2012,Rui Reguinga,Portugal·Alentejano,3.7,107
Viré-Clessé 2015,Seguin-Manuel,France·Viré-Clessé,3.7,29
Pinot Bianco - Weissburgunder 2015,Tramin,Italy·Südtirol - Alto Adige,3.6,107
Célestiale 2016,Clos du Soleil,Canada·Niagara Peninsula,4.1,31
Black Cab Cabernet - Baco Noir 2017,EastDell,Canada·Ontario,3.3,105
Tempranillo 2016,Stag's Hollow,Canada·Okanagan Valley,3.8,26
Estate Grown Merlot 2015,Painted Rock,Canada·Okanagan Valley,4.1,111
Pinot Gris 2014,Montinore Estate,United States·Willamette Valley,3.8,159
Syrah 2015,Bench 1775,Canada·Okanagan Valley,3.6,40
Black Cab Cabernet - Baco Noir 2017,EastDell,Canada·Ontario,3.3,105
Estate Grown Merlot 2015,Painted Rock,Canada·Okanagan Valley,4.1,111
Gamay 2018,Malivoire,Canada·Niagara Peninsula,3.6,137
Curtimenta 2017,Art.Terra,Portugal·Alentejano,3.3,117
Estate Collection Cabernet Sauvignon 2015,Raymond,United States·Napa Valley,3.8,48
Chango Red Blend 2015,Vaglio,Argentina·Cafayate Valley,3.8,39
Bärba Cesco Barbera d'Alba Superiore 2014,Elio Filippino,Italy·Barbera d'Alba,4.2,53
Alceo Tempranillo 2017,Familia Bastida,Spain·La Mancha,3.9,132
Tidal Bay 2017,Benjamin Bridge,Canada·Nova Scotia,3.5,49
Diorama Syrah 2017,Pinord,Spain·Montsant,3.6,77
Pouilly-Fuissé Classique 2015,Joseph Burrier (Château de Beauregard),France·Pouilly-Fuissé,3.9,37
One Hundred Percent 2014,Devil's Advocate,United States·Paso Robles,3.8,139
Tinta Roriz 2018,Convento da Glória,Portugal·Lisboa,3.8,76
Saint Bris Sauvignon 2018,Bernard Defaix,France·Saint-Bris,3.9,38
Riesling 2017,Norman Hardie,Canada·Ontario,3.6,82
Vineyard Salute Flygirl White 2014,Airfield Estates,United States·Yakima Valley,3.3,50
Chardonnay 2018,Poplar Grove,Canada·Okanagan Valley,4,26
Signature Beaujolais Villages 2018,Vignerons de Bel Air,France·Beaujolais-Villages,3.7,31
Dinavolo Bianco 2016,Denavolo Rivergaro,Italy·Emilia-Romagna,3.9,197
Clos Du Pressoir Menetou-Salon Rouge 2017,Joseph Mellot,France·Menetou-Salon,3.8,32
Haut-Médoc 2015,Château de Villambis,France·Haut-Médoc,3.6,68
Nuna Estate Cabernet Sauvignon 2014,Chakana,Argentina·Lujan de Cuyo,3.7,97
Médoc 2012,Château Roquegrave,France·Médoc,3.3,257
Old Bush Vine Grenache (Samuel's Garden Collection) 2017,Yalumba,Australia·Barossa,3.7,157
Saó Abrivat 2016,Mas Blanch I Jove,Spain·Costers del Segre,3.9,75
Chardonnay Unfiltered 2016,Norman Hardie,Canada·Niagara Peninsula,3.8,39
Two Vines Riesling - Gewürztraminer 2018,Strewn,Canada·Niagara Peninsula,3.5,78
Speck Family Reserve Riesling 2018,Henry of Pelham,Canada·Short Hills Bench,3.8,58
Semi-Dry Riesling 2017,Vineland Estates Winery,Canada·Niagara Peninsula,3.9,93
Le Devoy Rouge 2017,Domaines André Aubert,France·Grignan-les-Adhémar,3.9,50
Gewürztraminer 2018,50th Parallel Estate,Canada·Okanagan Valley,4,28
Pinot Noir 2013,Flat Rock Cellars,Canada·Twenty Mile Bench,3.5,83
Chenin Blanc 2019,Protea,South Africa·Coastal Region,3.7,134
Sousão 2016,Quinta do Vallado,Portugal·Douro,4.1,223
Tendu Cortese 2018,Matthiasson,United States·Clarksburg,3.8,30
Colheita Branco 2018,Mingorra,Portugal·Alentejano,3.8,97
Cabernet Sauvignon 2016,Château des Charmes,Canada·Niagara-on-the-Lake,3.5,60
Gewürztraminer 2017,Angels Gate,Canada·Beamsville Bench,3.5,62
Pinot Noir 2017,50th Parallel Estate,Canada·Okanagan Valley,4.1,25
Douro Dourosa Red 2017,Quinta de La Rosa,Portugal·Douro,3.9,75
Syrah 2016,Blasted Church,Canada·Okanagan Valley,4.1,140
Vieilles Vignes Morgon 2017,Kevin Descombes,France·Morgon,3.9,53
Tinto 2015,Valle de Passos,Portugal·Trás-os-Montes,3.7,115
Shiraz 2015,Delheim,South Africa·Stellenbosch,3.8,91
Sur Lie Chardonnay 2013,Delheim,South Africa·Stellenbosch,4.1,69
Chardonnay 2017,See Ya Later Ranch,Canada·Okanagan Valley,3.7,27
Okanagan Estate Merlot 2017,Inniskillin,Canada·Okanagan Valley,3.7,62
Ping - Meritage 2017,See Ya Later Ranch,Canada·Okanagan Valley,3.9,62
Cabernet Franc 2017,Black Sage Vineyard,Canada·Okanagan Valley,4,133
Reserve Merlot 2012,Mission Hill Family Estate,Canada·Okanagan Valley,3.5,115
Merlot 2017,Black Sage Vineyard,Canada·Okanagan Valley,3.8,100
Reserva Tinto 2014,Quinta da Rede,Portugal·Douro,3.6,299
Riva Arsiglia 2017,Menti Giovanni,Italy·Gambellara,3.7,56
Terra  a Terra Reserva Branco 2014,Quanta Terra,Portugal·Douro,3.8,53
Humanitas Reserva 2016,Vinha das Virtudes,Portugal·Alentejano,4.3,56
Growers Blend Pinot Noir 2015,Tawse,Canada·Niagara Peninsula,3.9,46
Beaumont Crozes-Hermitage 2018,David Reynaud,France·Crozes-Hermitage,4,306
Pinot Noir 2013,Invivo,New Zealand·Central Otago,3.7,45
Riesling 2016,Schmitt Söhne,Germany·Mosel,3.5,41
Shiraz BIN 555 2016,Wyndham,Australia·South Eastern Australia,3.6,1340
The Parson Cabernet Sauvignon 2017,Chapel Hill,Australia·McLaren Vale,3.5,142
Amarone della Valpolicella Classico  2013,Guerrieri Rizzardi,Italy·Amarone della Valpolicella,4.2,265
Reserva 2015,Quinta de São Sebastião,Portugal·Lisboa,3.8,518
Dolomite Riesling 2017,Cave Spring,Canada·Niagara Escarpment - Ontario,4,44
Sancerre Le Tournebride 2017,Vincent Gaudry,France·Sancerre,4.1,335
Riesling Off Dry 2017,Huff Estates,Canada·Ontario,3.6,30
Shiraz Lakefront Series 2018,Konzelmann,Canada·Niagara Peninsula,3.6,68
Generation Bordeaux Supérieur 2016,Château Le Grand Verdus,France·Bordeaux Supérieur,3.9,33
Gamlitzer Sauvignon Blanc 2016,Sattlerhof,Austria·Südsteiermark,3.8,94
Gewürztraminer 2016,Neethlingshof Estate,South Africa·Stellenbosch,3.7,224
Gavi del Comune di Gavi 2018,Ascheri,Italy·Gavi,4.1,172
Langhe Freisa 2017,Azienda Agricola 499,Italy·Langhe,3.7,27
Strada al Sasso Chianti Classico Riserva 2015,Arceno,Italy·Chianti Classico,4.1,37
Guarda Rios Signature Tinto 2018,Vale d'Algares,Portugal·Alentejano,4,1527
Guarda Rios Signature Tinto 2018,Vale d'Algares,Portugal·Alentejano,4,1527
Skuttlebutt Sauvignon Blanc - Semillon 2017,Stella Bella,Australia·Margaret River,3.4,86
Contraste Tinto 2014,Conceito,Portugal·Douro,3.5,215
Cabernet Sauvignon 2017,Seven Peaks,United States·California,3.7,82
Côtes du Rhône Villages 'Seguret' 2015,Domaine de l'Amandine,France·Côtes-du-Rhône-Villages 'Seguret',3.7,322
Bon Sauvage Pinot Noir 2017,Illahe,United States·Willamette Valley,4.3,78
Breca Garnacha Old Vines 2015,Breca,Spain·Calatayud,3.9,2274
Syrah 2016,Michel Gassier,France·Costières-de-Nîmes,3.6,489
Le Rime Pinot Grigio 2017,Banfi,Italy·Toscana,3.3,26
Boccatone Montefalco Rosso 2015,Tabarrini,Italy·Montefalco,4,178
Blanc de Gris 2016,Κτημα Τσελεπου (Ktima Tselepos),Greece·Arkadia,3.5,53
Crianza 2014,Protos,Spain·Ribera del Duero,3.9,3528
Vinhas Velhas Tinto 2015,Dona Francisca,Portugal·Douro,4.1,49
Dão Branco 2017,Casa de Mouraz,Portugal·Dão,3.6,29
Pinot Noir Bourgogne 2017,François Mikulski,France·Bourgogne,3.9,35
Aconcagua Costa Syrah 2017,Errazuriz,Chile·Aconcagua Costa,3.8,68
Riesling 2018,Henry of Pelham,Canada·Niagara Peninsula,3.8,69
Symphonie Côtes de Provence Blanc 2018,Château Sainte Marguerite,France·Côtes de Provence,4.1,96
Turmhof Pinot Nero 2016,Tiefenbrunner,Italy·Südtirol - Alto Adige,3.8,268
Pinot Grigio 1908,Cielo e Terra,Italy·delle Venezie,3.7,339
Dipinti Pinot Grigio 2016,Cantina La-Vis,Italy·Vigneti delle Dolomiti,3.6,38
Decora Riesling 2016,Culmina,Canada·Okanagan Valley,3.6,48
Adele Côtes du Rhône 2017,Éric Texier,France·Côtes-du-Rhône,3.7,148
The Agnes Chardonnay 2015,Crystallum,South Africa·Western Cape,4,178
Tinto 2017,Arrepiado Velho,Portugal·Alentejo,3.9,242
Pinot Noir 2018,Le Fou,France·Pays d'Oc,3.6,137
Gimblett Gravels Vineyard Te Kahu 2013,Craggy Range,New Zealand·Gimblett Gravels,3.8,745
Vendanges Nocturnes Viognier 2018,Laurent Miquel,France·Pays d'Oc,3.9,230
The Agnes Chardonnay 2015,Crystallum,South Africa·Western Cape,4,178
J. Boutin Parcelle de Jean Saint-Joseph 2014,Stephane Vedeau,France·Saint-Joseph,3.9,70
Remolinos Vineyard Petit Verdot 2014,Decero,Argentina·Agrelo,4.1,347
Johnny Q Shiraz 2015,Quarisa,Australia·South Australia,3.6,458
Bordeaux Supérieur (Premium) 2016,Château Clou du Pin,France·Bordeaux Supérieur,3.7,369
Impari Nero d'Avola 2013,Zabu,Italy·Terre Siciliane,4.2,422
Shiraz 2018,Kingston,Australia·Limestone Coast,3.7,42
Château Cambon Beaujolais 2019,Domaine Mathieu & Camille Lapierre,France·Beaujolais,3.7,116
Bandol Blanc 2018,La Suffrene,France·Bandol,3.7,63
Chardonnay 2018,Rustenberg,South Africa·Stellenbosch,4,564
Saint-Émilion Grand Cru 2014,Clos des Menuts,France·Saint-Émilion Grand Cru,3.8,472
Cinsaut 2019,Craven,South Africa·Stellenbosch,3.9,47
Chasselas - Pinot Blanc - Pinot Gris 2019,Quails' Gate,Canada·Okanagan Valley,4,37
Reserve Merlot 2016,Mission Hill Family Estate,Canada·Okanagan Valley,3.8,211
Estate Grown Syrah 2016,Painted Rock,Canada·Okanagan Valley,4.2,109
Estate Vineyards Syrah (Shiraz) 2015,Rust En Vrede,South Africa·Stellenbosch,4.2,720
El Politico Garnacha 2015,Baltasar Gracián,Spain·Calatayud,3.6,143
Grand Reserve 2014,Delheim,South Africa·Stellenbosch,4.1,117
Ponte Das Canas 2014,Mouchão,Portugal·Alentejo,3.9,588
Moulis-en-Médoc 2012,Château Dutruch Grand Poujeaux,France·Moulis-en-Médoc,3.9,570
Blaye - Côtes de Bordeaux 2012,Magdeleine Bouhou,France·Blaye - Côtes de Bordeaux,3.6,115
Barbera d'Alba 2018,Mauro Molino,Italy·Barbera d'Alba,3.8,379
Munda Touriga Nacional 2013,Quinta do Mondego,Portugal·Dão,4,78
Pinot Noir 2016,Sokol Blosser,United States·Dundee Hills,4.2,70
Terre di Val Bona Verdicchio di Matelica 2018,Belisario,Italy·Verdicchio di Matelica,3.6,160
Rocca Ventosa Pinot Grigio 2018,Cantina Tollo,Italy·Terre di Chieti,3.4,92
Sweet White 2016,Jam Jar,South Africa·Western Cape,4,68
Bourgogne Chardonnay 2016,Philippe Chavy,France·Bourgogne,3.9,141
Bergerac Malbec 2018,Château Laulerie,France·Bergerac,3.6,55
Saumur-Champigny La Folie 2018,Château Yvonne,France·Saumur-Champigny,3.8,119
Naranjo 2019,Viña González Bastías,Chile·Maule Valley,4.1,67
Cabernet Sauvignon 2016,Mirassou,United States·California,3.6,268
Barbera del Monferrato 2016,Scarpetta,Italy·Barbera del Monferrato,3.8,228
Pinot Noir N.V.,Black Ridge,United States·California,3.6,1436
Reserve Cabernet Sauvignon (Barrancas Vineyards) 2017,Pascual Toso,Argentina·Mendoza,3.9,33
Xérico 2017,Tentenublo,Spain·Rioja,3.8,220
Terrasses Blanc 2017,Château Pesquie,France·Ventoux,3.7,34
Merlot 2015,Smoking Loon,United States·California,3.7,604
Chianti Classico Riserva 2015,Castello di Monsanto,Italy·Chianti Classico,4,1869
Tinto 2016,Opta,Portugal·Dão,3.6,197
Malbec 2017,La Linda,Argentina·Mendoza,3.7,6068
Barbera d'Alba Aves 2017,Comm. G.B. Burlotto,Italy·Barbera d'Alba,4.1,186
Toro 2016,Bodega Elias Mora,Spain·Toro,3.9,545
Maio 5 Albariño 2015,Lagar de Costa,Spain·Rías Baixas,4.2,30
County Pinot Noir Unfiltered 2016,Norman Hardie,Canada·Prince Edward County,4,240
Tempranillo - Syrah 2017,Gran Sello,Spain·Castilla,3.9,45
L'Ora 2011,Pravis,Italy·Trentino-Alto Adige,3.9,44
Muros Antigos Alvarinho 2019,Anselmo Mendes,Portugal·Monção e Melgaço,3.9,71
Barbera d'Alba 2015,Paolo Scavino,Italy·Piemonte,3.6,80
Valsalado Rioja 2012,Paisajes,Spain·Rioja,3.6,68
County Pinot Noir Unfiltered 2016,Norman Hardie,Canada·Prince Edward County,4,240
Barbera d'Alba Aves 2017,Comm. G.B. Burlotto,Italy·Barbera d'Alba,4.1,186
Terrasses Blanc 2017,Château Pesquie,France·Ventoux,3.7,34
Tinto 2016,Opta,Portugal·Dão,3.6,197
Cabernet Sauvignon 2016,Gallo Family Vineyards,United States·California,3.4,811
Red Blend 2016,Pendulum,United States·Columbia Valley,3.7,541
Savigny-les-Beaune 2015,Domaine Pavelot,France·Savigny-lès-Beaune,4,256
Malbec 2017,La Linda,Argentina·Mendoza,3.7,6068
Toro 2016,Bodega Elias Mora,Spain·Toro,3.9,545
Maio 5 Albariño 2015,Lagar de Costa,Spain·Rías Baixas,4.2,30
Pinot Noir N.V.,Black Ridge,United States·California,3.6,1436
Xérico 2017,Tentenublo,Spain·Rioja,3.8,220
Barbera del Monferrato 2016,Scarpetta,Italy·Barbera del Monferrato,3.8,228
Haut-Médoc 2016,Château Lamothe-Bergeron,France·Haut-Médoc,3.8,176
Posaú Rossese di Dolceacqua Superiore 2018,Maccario Dringenberg,Italy·Dolceacqua,3.8,33
Armonia Toscana 2016,Casadei,Italy·Toscana,3.6,294
L'Ora 2011,Pravis,Italy·Trentino-Alto Adige,3.9,44
Reserva Especial Tinto 2012,Quinta da Alameda,Portugal·Dão,4.3,236
Reserva Branco 2015,Pormenor,Portugal·Douro,4,73
Kanimari Vermentino di Sardegna 2018,Nuraghe Crabioni,Italy·Vermentino di Sardegna,3.8,27
Rosso d’Asia 2012,Picchioni Andrea,Italy·Oltrepò Pavese,4,79
Tempranillo - Syrah 2017,Gran Sello,Spain·Castilla,3.9,45
Kalimera 2018,Cenatiempo,Italy·Ischia,4.3,38
Vitovska 2017,Kante,Italy·Carso,3.6,36
Black Label Cabernet Sauvignon 2014,Wynns,Australia·Coonawarra,3.9,482
Merì Vermentino di Sardegna 2019,Argiolas,Italy·Vermentino di Sardegna,3.7,27
The Barossan Shiraz 2017,Peter Lehmann,Australia·Barossa Valley,3.8,1080
Riesling 2016,Falkenstein,Italy·Südtirol - Alto Adige,3.9,375
Costa Marina Colli di Luni Vermentino 2019,Ottaviano Lambruschi,Italy·Colli di Luni,3.9,28
Marsanne Les Vignes d'à Côté 2018,Yves Cuilleron,France·Collines Rhodaniennes,3.8,226
Gigondas 2015,Lavau,France·Gigondas,4.2,267
Filetta di Lamole Chianti Classico 2015,Fontodi,Italy·Chianti Classico,3.7,216
Spezie Barbaresco Riserva 2008,Vite Colte,Italy·Barbaresco,4.1,330
Cruz de Piedra Garnacha Tinto 2018,Bodegas Virgen de la Sierra,Spain·Calatayud,3.4,58
Janare Lùcchero Aglianico 2015,La Guardiense,Italy·Sannio,3.8,160
Barbaresco 2016,Batasiolo,Italy·Barbaresco,4,187
Jester Shiraz 2015,Mitolo,Australia·McLaren Vale,3.9,653
Nebbiolo Coste Della Sesia 2018,Travaglini,Italy·Coste della Sesia,3.4,47
County Chardonnay Unfiltered 2016,Norman Hardie,Canada·Prince Edward County,4.1,76
Cem Reis Viognier 2018,Herdade da Maroteira,Portugal·Alentejano,4.3,136
Domitilla 2012,Ad Fines,France·Vaucluse,3.9,34
Bergerac Rouge 2012,Château Thénac,France·Bergerac,3.6,147
Riesling Grand Cru 'Kirchberg de Ribeauville' 2013,Jean Sipp,France·Alsace Grand Cru 'Kirchberg de Ribeauville',4.2,65
Saint-Joseph Digue Blanc (Lieu-Dit) 2017,Yves Cuilleron,France·Saint-Joseph,4,36
Côtes du Jura 2014,Jean Macle,France·Château-Chalon,3.8,69
Le Pradel 2013,Domaine La Terrasse d'Elise,France·Hérault,3.8,84
Chassagne Montrachet 2015,Domaine Sylvain Morey,France·Chassagne-Montrachet,4.3,69
Martinet Bru Priorat (Garnatxa - Syrah) 2016,Martinet,Spain·Priorat,4.1,541
Igornada Bourgueil 2014,Domaine des Ouches,France·Bourgueil,3.1,39
Nosiola Dolomiti 2017,Pojer e Sandri,Italy·Vigneti delle Dolomiti,3.6,43
Jean Gamay Noir 2017,Jean Loron,France·Vin de France,3.7,608
Satellite Sauvignon Blanc 2016,Spy Valley,New Zealand·Marlborough,3.8,592
Ruberpan Valpolicella Superiore 2016,Pieropan,Italy·Valpolicella,3.9,368
Shiraz 2017,Coriole Vineyards,Australia·McLaren Vale,3.7,47
Sauvignon Blanc 2018,Hunter's,New Zealand·Marlborough,3.9,822
Cabernet Sauvignon 2013,L. A. Cetto,Mexico·Valle de Guadalupe,3.4,1067
Gran Corte (Malbec) 2016,Amalaya,Argentina·Salta,3.7,438
Bianco Pomice 2018,Tenuta di Castellaro,Italy·Sicilia,3.9,26
Heritage Reserve Zinfandel 2015,DeLoach,United States·California,3.8,422
Sylvaner 2018,Eisacktaler Kellerei Cantina Valle Isarco,Italy·Südtirol - Alto Adige,3.8,221
Samorëns Côtes-du-Rhône Rouge 2016,Ferraton Père & Fils,France·Côtes-du-Rhône,3.6,718
Savigny-les-Beaune 2015,Domaine Pavelot,France·Savigny-lès-Beaune,4,256
Chardonnay 2016,Wynns,Australia·Coonawarra,3.3,80
Valsalado Rioja 2012,Paisajes,Spain·Rioja,3.6,68
Klanis Syrah 2013,Tenuta Montecchiesi,Italy·Cortona,4.1,107
Cosmus Chianti Riserva 2013,Piandaccoli,Italy·Chianti,3.8,216
Vigna Grotta Piana Ravello Costa d'Amalfi 2016,Ettore Sammarco,Italy·Costa d'Amalfi,4,39
Podere Sassaie 2011,Petreto,Italy·Toscana,3.6,67
Pinot Nero 2016,Graziano Fontana,Italy·Trentino,3.5,31
L'Invidio Bolgheri Rosso 2018,Podere Sette,Italy·Bolgheri,3.8,42
Roero 2017,Valfaccenda,Italy·Roero,3.9,30
Corallo Nero Sangiovese di Romagna Superiore Riserva 2010,Gallegati,Italy·Sangiovese di Romagna,3.6,41
Dez Tostões Tinto 2018,Herdade da Maroteira,Portugal·Alentejano,4.1,356
Cosmus Chianti Riserva 2013,Piandaccoli,Italy·Chianti,3.8,216
Vigna Grotta Piana Ravello Costa d'Amalfi 2016,Ettore Sammarco,Italy·Costa d'Amalfi,4,39
Chardonnay 2016,Glen Carlou,South Africa·Paarl,4,321
Estate Series Carmenère 2016,La Playa,Chile·Colchagua Valley,3.5,121
Mezzo Braccio Riesling Toscana 2016,Tenuta Monteloro,Italy·Toscana,3.7,100
Il Riccio Rosso 2009,Rignana,Italy·Toscana,4,52
Il Sangiovese Sangiovese Predappio 2018,Noelia Ricci,Italy·Sangiovese di Romagna,3.5,122
Podere Sassaie 2011,Petreto,Italy·Toscana,3.6,67
L'Invidio Bolgheri Rosso 2018,Podere Sette,Italy·Bolgheri,3.8,42
Vigna ai Sassi Riserva Vernaccia di San Gimignano 2015,Tenuta Le Calcinaie,Italy·San Gimignano,4,95
Spezie Barbaresco Riserva 2008,Vite Colte,Italy·Barbaresco,4.1,330
Cruz de Piedra Garnacha Tinto 2018,Bodegas Virgen de la Sierra,Spain·Calatayud,3.4,58
County Chardonnay Unfiltered 2016,Norman Hardie,Canada·Prince Edward County,4.1,76
Jean Gamay Noir 2017,Jean Loron,France·Vin de France,3.7,608
Satellite Sauvignon Blanc 2016,Spy Valley,New Zealand·Marlborough,3.8,592
Nosiola Dolomiti 2017,Pojer e Sandri,Italy·Vigneti delle Dolomiti,3.6,43
Nebbiolo Coste Della Sesia 2018,Travaglini,Italy·Coste della Sesia,3.4,47
Gran Corte (Malbec) 2016,Amalaya,Argentina·Salta,3.7,438
Chianti Classico 2016,Val delle Corti,Italy·Chianti Classico,3.8,146
Ribolla Gialla 2012,Radikon,Italy·Friuli-Venezia Giulia,4.2,213
Viognier 2016,McManis,United States·River Junction,3.6,516
Slatnik 2015,Radikon,Italy·Friuli-Venezia Giulia,4.1,294
Ethos Reserve Cabernet Sauvignon 2013,Chateau Ste. Michelle,United States·Columbia Valley,4.1,298
Aria di Caiarossa 2015,Caiarossa,Italy·Toscana,4,62
Cabernet Sauvignon 2016,Gallo Family Vineyards,United States·California,3.4,811
Stewart Family Reserve Chardonnay 2016,Quails' Gate,Canada·Okanagan Valley,4,66
Armonia Toscana 2016,Casadei,Italy·Toscana,3.6,294
Stile Libero Conero Riserva 2013,Angeli di Varano,Italy·Rosso Conero Riserva,4.1,33
Ciabot Tanasio Barolo 2015,Sobrero,Italy·Barolo,4.1,50
Barbera d'Alba Superiore 2015,Borgogno,Italy·Barbera d'Alba,3.8,1013
Chianti Classico Riserva 2014,Bibbiano,Italy·Chianti Classico,3.6,25
Millennio Chianti Classico Gran Selezione 2013,Cacchiano,Italy·Chianti Classico,4.4,27
Chianti Classico 2015,Cacchiano,Italy·Chianti Classico,3.9,59
Riserva Chianti Classico 2013,Cacchiano,Italy·Chianti Classico,4,74
La Guiberte Sancerre 2018,Alain Gueneau,France·Sancerre,4.3,76
Viejas Tinajas Cinsault 2016,De Martino,Chile·Itata Valley,3.6,338
Chianti Classico 2016,Rocca di Montegrossi,Italy·Chianti Classico,4,472
Campo di Sasso Insoglio del Cinghiale 2016,Biserno,Italy·Toscana,3.9,2762
Ercole Nero Buono 2013,Cincinnato,Italy·Lazio,3.8,191
Collio Pinot Grigio 2017,Schiopetto,Italy·Collio,3.8,55
Rioja Gabaxo 2016,Olivier Rivière,Spain·Rioja,3.6,277
Terre a Mano Carmignano Rosso 2016,Bacchereto,Italy·Carmignano,4.2,126
Cabardès 2014,Château de Pennautier,France·Cabardès,3.5,495
Mosaico Bolgheri 2017,Casa di Terra,Italy·Bolgheri,4.1,60
Sancti Blasii 2010,Colline San Biagio,Italy·Carmignano,4,34
Capannino 2014,Castello del Terriccio,Italy·Toscana,3.4,245
Royal Palmeira Loureiro Branco 2016,Quinta da Pedra,Portugal·Vinho Verde,4.1,165
Monte Sella Soave Classico 2013,Le Mandolare,Italy·Soave Classico,4,28
Granito Cru Alvarinho 2013,Luis Seabra,Portugal·Monção e Melgaço,4,142
Rupestre Sassella 2009,Menegola,Italy·Valtellina Superiore,3.7,57
Etna Rosso 2007,Tenuta delle Terre Nere,Italy·Etna,4,93
Verdicchio dei Castelli di Jesi Classico Superiore 2017,La Staffa,Italy·Verdicchio dei Castelli di Jesi,3.7,221
Montepulciano d'Abruzzo 2015,Cirelli,Italy·Montepulciano d'Abruzzo,3.7,298
Lyra Gewürztraminer 2013,Nals Margreid,Italy·Südtirol - Alto Adige,4.1,66
Haut-Médoc 2016,Château Lamothe-Bergeron,France·Haut-Médoc,3.8,176
Killer Drop Red 2016,689 - Six Eight Nine,United States·California,4,462
Posaú Rossese di Dolceacqua Superiore 2018,Maccario Dringenberg,Italy·Dolceacqua,3.8,33
Bastian Contrario Marche Rosso 2016,La Marca di San Michele,Italy·Marche,3.4,35
Scopaio Bolgheri Rosso 2017,La Cipriana,Italy·Bolgheri,4,40
Cerasuolo di Vittoria 2017,Manenti,Italy·Cerasuolo di Vittoria,3.9,65
Amarone della Valpolicella Classico 2013,Bolla,Italy·Amarone della Valpolicella Classico,3.9,1645
Pinot Noir 2018,J. Wilkes,United States·Santa Maria Valley,3.8,31
Pietro Gattinara 2015,Paride Iaretti,Italy·Gattinara,4.1,53
Pazzo 2016,Bacio Divino,United States·Napa Valley,4.2,363
La Cinso Cinsault 2016,Domaine Anne Gros & Jean-Paul Tollot,France·Côtes du Brian,3.9,45
Le Jaja de Jau Sauvignon Blanc 2018,Château de Jau,France·Languedoc-Roussillon,3.5,28
Pinot Noir 2015,Greywacke,New Zealand·Marlborough,4,347
Rovereto Gavi 2019,Picollo Ernesto,Italy·Gavi,4.2,72
Saó Expressiu 2011,Mas Blanch I Jove,Spain·Costers del Segre,3.9,45
Aria di Caiarossa 2015,Caiarossa,Italy·Toscana,4,62
Chianti Classico 2017,Castello di Meleto,Italy·Chianti Classico,3.7,92
Chavignol Sancerre Rouge 2016,Domaine Delaporte,France·Sancerre,4,107
Chianti Classico 2016,Val delle Corti,Italy·Chianti Classico,3.8,146
Ethos Reserve Cabernet Sauvignon 2013,Chateau Ste. Michelle,United States·Columbia Valley,4.1,298
Sancti Blasii 2010,Colline San Biagio,Italy·Carmignano,4,34
Terre a Mano Carmignano Rosso 2016,Bacchereto,Italy·Carmignano,4.2,126
