title,winery,region,ratings,number of ratings
Sibling Rivalry White 2016,Henry of Pelham,Canada·Niagara Peninsula,3.3,59
Primera Amante Malbec 2016,SoloContigo,Argentina·Mendoza,3.5,67
Chardonnay 2017,Red Rooster,Canada·British Columbia,3.8,33
The Pavillion Chenin Blanc 2015,Boschendal,South Africa·Western Cape,3.8,251
Lupi Reali Organic Montepulciano d'Abruzzo 2015,Valle Reale,Italy·Montepulciano d'Abruzzo,3.4,1026
Mont-Palais Rully Premier Cru 2014,Domaine Jaeger-Defaix,France·Rully Premier Cru,4.2,103
Tintillo Malbec - Bonarda 2018,Santa Julia,Argentina·Mendoza,3.3,592
Côtes de Bourg 2015,Château Rousselle,France·Côtes de Bourg,3.9,374
Viñas Viejas 2014,Hazaña,Spain·Rioja,3.6,1365
Riesling Niersteiner Hipping Spätlese 2013,Seebrich,Germany·Rheinhessen,4.0,27
Origine du Haut Bourg Muscadet Côtes de Grandlieu 2005,Domaine du Haut Bourg,France·Muscadet-Côtes de Grandlieu,3.8,74
Unoaked Chardonnay 2017,Vineland Estates Winery,Canada·Niagara Peninsula,3.6,61
Savigny-les-Beaune 2012,Domaine Pavelot,France·Savigny-lès-Beaune,3.7,172
Maija Pinot Noir 2018,Tantalus,Canada·Okanagan Valley,4.0,31
Sauvignon Blanc 2017,Robertson Winery,South Africa·Robertson,3.5,138
Chardonnay 2016,La Belle Angèle,France·Vin de Pays,3.3,135
Schlossböckelheimer In den Felsen Riesling Trocken 2012,Hexamer,Germany·Nahe,3.8,28
Starsa 2016,Tenuta del Portale,Italy·Basilicata,3.4,31
The Formula Robert's Shiraz 2015,Small Gully,Australia·Barossa Valley,3.9,304
Bordeaux Supérieur 2016,Château de Camarsac,France·Bordeaux Supérieur,3.5,786
Haardt Scheurebe 2015,Müller-Catoir,Germany·Pfalz,3.8,41
Arcangelo Primitivo Salento 2016,Palamà,Italy·Salento,3.6,29
Bourgogne Pinot Noir 2015,Henri Meurgey,France·Bourgogne,3.6,70
Shiraz 2013,Ram's Leap,Australia·New South Wales,3.1,30
Unculin Red 2016,Jose Antonio García,Spain·Bierzo,3.6,140
Vino Nobile di Montepulciano 2013,Antico Colle,Italy·Vino Nobile di Montepulciano,3.8,81
Les Montées de St Lay Côtes de la Charite Pinot Noir 2015,Serge Dagueneau & Filles,France·Côtes de la Charite,3.7,33
Calendas Tinto 2017,Ochoa,Spain·Navarra,3.1,38
Reserve Series Meritage 2016,Konzelmann,Canada·Niagara Peninsula,3.9,26
Pinot Noir 2017,Sperling,Canada·Okanagan Valley,3.8,47
The Looking Glass 2017,Rosewood Estates,Canada·Niagara Peninsula,3.9,41
Pinot Gris 2018,Mt. Boucherie,Canada·Similkameen Valley,3.2,70
Pinot Noir 2017,Stanners Vineyard,Canada·Prince Edward County,3.8,36
Dão Tinto 2012,Dom Bella,Portugal·Dão,3.9,306
Lapa dos Gaivões Escolha 2012,João M Barbosa,Portugal·Alentejano,3.7,29
Quinta de Silvares Tinto 2015,Anselmo Mendes,Portugal·Dão,3.7,191
Langhe Nebbiolo 2016,Attilio Ghisolfi,Italy·Langhe,3.8,66
Proprietors' Selection Sauvignon Blanc N.V.,Jackson-Triggs,Canada·British Columbia,3.1,837
Second Innings Malbec 2017,Bleasdale,Australia·Langhorne Creek,3.8,240
Pinot Grigio 2018,Sacchetto,Italy·Venezia Giulia,3.4,79
Quarry Road Vineyard Riesling 2018,Tawse,Canada·Niagara Peninsula,4.0,31
Syrah 2017,Intellego,South Africa·Swartland,3.6,46
